Bact,Time,log10_thresh,TP,FP,FN,TN,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J,Product,Test
AF 6,24 Hours,0.3,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,UHT Milk,Charm
AF 6,24 Hours,0.4,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,UHT Milk,Charm
AF 6,24 Hours,0.5,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,UHT Milk,Charm
AF 6,24 Hours,0.6000000000000001,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,UHT Milk,Charm
AF 6,24 Hours,0.7,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,0.8,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,0.9000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.3,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.4000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.5000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.6,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.7000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.8,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,1.9000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,2.1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,2.2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,2.3,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,2.4,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,2.5,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
AF 6,24 Hours,2.6,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,UHT Milk,Charm
