Product,Test,Method,above_floor,Time,bg_floor_log10,criterion_value,Range_log10,Range_units,n_in_intersect,n_above_floor,n_total,no_range,problematic,best_achieved,valid
Cream,Charm,Best Accuracy,FALSE,6 Hours,0.79,0.8333,no range,—,1,8,8,NA,"Geo 1, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,Charm,Best Accuracy,FALSE,12 Hours,0.79,0.7708,no range,—,0,8,8,NA,"Geo 1, Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,Charm,Best Accuracy,FALSE,24 Hours,0.79,0.8333,no range,—,1,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,Charm,Best Accuracy,FALSE,48 Hours,0.79,0.8333,no range,—,1,8,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,AttuneDilut,Youden J,TRUE,6 Hours,5.66,0,5.70 – 7.70,5.0e+05 – 5.0e+07,6,6,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Youden J,TRUE,12 Hours,5.66,0.0357,5.70 – 7.60,5.0e+05 – 4.0e+07,7,7,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Youden J,TRUE,24 Hours,5.66,0.0286,5.70 – 6.50,5.0e+05 – 3.2e+06,7,7,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Youden J,TRUE,48 Hours,5.66,0.2812,5.70,5.0e+05,8,8,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Sensitivity-first,TRUE,6 Hours,5.66,0,5.70 – 7.70,5.0e+05 – 5.0e+07,6,6,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Sensitivity-first,TRUE,12 Hours,5.66,0.0357,5.70 – 7.60,5.0e+05 – 4.0e+07,7,7,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Sensitivity-first,TRUE,24 Hours,5.66,0.0286,5.70 – 6.50,5.0e+05 – 3.2e+06,7,7,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Sensitivity-first,TRUE,48 Hours,5.66,0.2812,5.70,5.0e+05,8,8,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Best Accuracy,TRUE,6 Hours,5.66,0.4167,5.70 – 7.70,5.0e+05 – 5.0e+07,8,8,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Best Accuracy,TRUE,12 Hours,5.66,0.3125,5.70 – 7.60,5.0e+05 – 4.0e+07,8,8,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Best Accuracy,TRUE,24 Hours,5.66,0.3542,5.70 – 6.50,5.0e+05 – 3.2e+06,8,8,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Best Accuracy,TRUE,48 Hours,5.66,0.4167,5.70,5.0e+05,8,8,8,NA,NA,NA,TRUE
Cream,AttuneDilut,Youden J,FALSE,6 Hours,5.66,0.5833,no range,—,1,6,8,NA,"Geo 1, Geo 3, AF 6, AF 7, AF 8",NA,FALSE
Cream,AttuneDilut,Youden J,FALSE,12 Hours,5.66,0.8429,no range,—,1,7,8,NA,"Geo 1, Geo 2, Geo 3, AF 5, AF 6, AF 7",NA,FALSE
Cream,AttuneDilut,Youden J,FALSE,24 Hours,5.66,0.7643,no range,—,4,7,8,NA,"Geo 2, AF 5, AF 6",NA,FALSE
Cream,AttuneDilut,Youden J,FALSE,48 Hours,5.66,0.9,no range,—,2,8,8,NA,"Geo 2, Geo 3, Geo 4, AF 5, AF 6, AF 7",NA,FALSE
