Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Cream,Charm,24 Hours,2.7,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
Cream,Charm,24 Hours,2.8,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
Cream,Charm,24 Hours,2.9,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
Cream,Charm,24 Hours,3,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
Cream,Charm,24 Hours,3.1,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
Cream,Charm,48 Hours,0,0.925,0.125,0.8292,0.1667,0.8125,0.7708,0.8619,0.7625,0.1236,0.05
Cream,Charm,48 Hours,0.1,0.925,0.125,0.8292,0.1667,0.8125,0.7708,0.8619,0.7625,0.1236,0.05
Cream,Charm,48 Hours,0.2,0.925,0.125,0.8292,0.1667,0.8125,0.7708,0.8619,0.7625,0.1236,0.05
Cream,Charm,48 Hours,0.3,0.925,0.125,0.8292,0.1667,0.8125,0.7708,0.8619,0.7625,0.1236,0.05
Cream,Charm,48 Hours,0.4,0.725,0.6875,0.9188,0.4792,0.8125,0.7083,0.7811,0.6708,0.3995,0.4125
Cream,Charm,48 Hours,0.5,0.4625,1,1,0.3375,0.8125,0.5625,0.6672,0.4625,0.4349,0.4625
Cream,Charm,48 Hours,0.6,0.4625,1,1,0.3375,0.8125,0.5625,0.6672,0.4625,0.4349,0.4625
Cream,Charm,48 Hours,0.7,0.2563,1,1,0.2833,0.8125,0.3958,0.6278,0.2563,0.4453,0.2562
Cream,Charm,48 Hours,0.8,0.2563,1,1,0.2833,0.8125,0.3958,0.6278,0.2563,0.4453,0.2562
Cream,Charm,48 Hours,0.9,0.2313,1,1,0.2625,0.8125,0.375,0.5931,0.2313,0.399,0.2313
Cream,Charm,48 Hours,1,0.2313,1,1,0.2625,0.8125,0.375,0.5931,0.2313,0.399,0.2313
Cream,Charm,48 Hours,1.1,0.2313,1,1,0.2625,0.8125,0.375,0.5931,0.2313,0.399,0.2313
Cream,Charm,48 Hours,1.2,0.2313,1,1,0.2625,0.8125,0.375,0.5931,0.2313,0.399,0.2313
Cream,Charm,48 Hours,1.3,0.2313,1,1,0.2625,0.8125,0.375,0.5931,0.2313,0.399,0.2313
